Bank_Quarter,Credit_Score,Country,Gender,Age,Tenure_Years,Account_Balance,Number_Of_Products,Has_Credit_Card,Active_Status,Estimated_Salary_EUR,Churn_Status
4,580,Spain,Male,29,3,61710.44,2,credit card holder,Inactive Member,128077.8,Retain
3,807,France,Male,35,5,174790.15,1,credit card holder,Active Member,600.36,Retain
4,616,Spain,Female,32,4,0.0,2,credit card holder,Active Member,43001.46,Retain
4,721,Germany,Male,37,4,107720.64,1,credit card holder,Active Member,158591.12,Retain
3,501,France,Male,57,4,0.0,2,credit card holder,Active Member,47847.19,Retain
4,521,France,Male,35,4,96423.84,1,credit card holder,Inactive Member,10488.44,Retain
4,850,Spain,Male,30,5,141040.01,1,credit card holder,Active Member,5978.2,Retain
1,759,France,Male,42,4,105420.18,1,non credit card holder,Active Member,121409.06,Retain
4,516,Spain,Male,50,3,0.0,1,non credit card holder,Active Member,146145.93,Exit
4,711,France,Female,38,3,129022.06,2,credit card holder,Active Member,14374.86,Exit
4,512,Spain,Male,33,6,176666.62,1,credit card holder,Inactive Member,94670.77,Retain
2,550,France,Male,37,4,0.0,1,credit card holder,Active Member,179670.31,Retain
3,608,Spain,Female,41,4,89763.84,1,non credit card holder,Inactive Member,199304.74,Exit
4,618,France,Male,34,5,134954.53,1,credit card holder,Active Member,151954.39,Retain
4,643,France,Male,45,5,0.0,1,credit card holder,Inactive Member,142513.5,Exit
3,671,France,Male,45,4,106376.85,1,non credit card holder,Active Member,158264.62,Retain
3,689,Germany,Male,33,5,161814.64,2,credit card holder,Inactive Member,169381.9,Retain
4,603,France,Male,31,6,0.0,2,credit card holder,Active Member,169915.02,Retain
3,620,France,Female,41,5,0.0,2,non credit card holder,Inactive Member,88852.47,Retain
4,676,France,Female,34,4,63095.01,1,credit card holder,Active Member,40645.81,Retain
3,572,Germany,Male,26,5,118287.01,2,non credit card holder,Inactive Member,60427.3,Retain
4,668,Germany,Male,47,5,106854.21,1,non credit card holder,Active Member,157959.02,Exit
1,695,France,Male,46,5,49512.55,1,credit card holder,Inactive Member,133007.34,Retain
3,730,Spain,Female,33,5,0.0,2,non credit card holder,Inactive Member,176576.62,Retain
4,807,France,Male,43,3,105799.32,2,credit card holder,Inactive Member,34888.04,Exit
1,592,France,Male,54,7,0.0,1,credit card holder,Active Member,28737.71,Exit
3,726,France,Female,31,4,114722.05,2,credit card holder,Active Member,98178.57,Retain
3,514,Spain,Male,30,4,0.0,1,non credit card holder,Active Member,125010.24,Retain
4,567,France,Male,42,3,0.0,2,credit card holder,Active Member,167984.61,Retain
1,850,France,Male,33,6,0.0,1,credit card holder,Inactive Member,4861.72,Exit
4,671,Germany,Male,45,4,99564.22,1,credit card holder,Active Member,108872.45,Exit
1,670,France,Male,37,5,170557.91,2,credit card holder,Inactive Member,198252.88,Retain
1,694,France,Female,30,5,0.0,2,credit card holder,Active Member,26960.31,Retain
2,547,Germany,Female,39,5,74596.15,3,credit card holder,Active Member,85746.52,Exit
3,751,Germany,Male,50,6,96888.39,1,credit card holder,Inactive Member,77206.25,Exit
4,594,Germany,Female,29,5,130830.22,1,credit card holder,Inactive Member,61048.53,Retain
4,673,France,Male,72,4,0.0,2,non credit card holder,Active Member,111981.19,Retain
1,610,France,Male,40,4,0.0,2,credit card holder,Inactive Member,62232.6,Retain
4,512,France,Female,37,3,0.0,2,non credit card holder,Active Member,156105.03,Retain
2,767,Germany,Male,20,6,119714.25,2,non credit card holder,Active Member,150135.38,Retain
3,585,France,Female,67,6,113978.97,2,non credit card holder,Active Member,93146.11,Retain
4,763,Germany,Male,42,3,100160.75,1,credit card holder,Inactive Member,33462.94,Exit
2,712,France,Female,29,7,0.0,1,credit card holder,Active Member,144375.0,Retain
4,539,Germany,Female,43,6,116220.5,3,credit card holder,Inactive Member,55803.96,Exit
4,668,France,Female,46,4,0.0,3,credit card holder,Inactive Member,89048.46,Exit
3,703,France,Male,28,5,81173.83,2,non credit card holder,Active Member,162812.16,Retain
2,662,Spain,Male,38,4,0.0,2,credit card holder,Inactive Member,136259.65,Retain
3,725,Germany,Female,39,4,116803.8,1,credit card holder,Inactive Member,124052.97,Retain
3,703,France,Male,37,4,105961.68,2,non credit card holder,Active Member,74158.8,Retain
1,659,Germany,Male,67,6,117411.6,1,credit card holder,Active Member,45071.09,Exit
2,523,Spain,Male,34,7,0.0,2,credit card holder,Inactive Member,62030.06,Retain
3,635,France,Female,40,7,123497.58,1,credit card holder,Inactive Member,131953.23,Exit
3,772,Germany,Male,26,4,152400.51,2,credit card holder,Inactive Member,79414.0,Retain
4,545,France,Female,26,4,0.0,2,credit card holder,Active Member,199638.56,Retain
3,634,Germany,Male,24,4,103097.85,1,credit card holder,Active Member,157577.29,Retain
3,739,Germany,Male,54,4,126418.14,1,credit card holder,Inactive Member,134420.75,Exit
2,771,Germany,Female,36,4,77846.9,1,non credit card holder,Inactive Member,99805.99,Retain
2,587,Spain,Female,34,5,0.0,2,credit card holder,Active Member,97932.68,Retain
3,681,France,Female,79,4,0.0,2,non credit card holder,Active Member,170968.99,Retain
4,544,Germany,Male,37,5,79731.91,1,credit card holder,Active Member,57558.95,Retain
2,696,Spain,Male,28,6,0.0,1,non credit card holder,Inactive Member,176713.47,Retain
4,766,Spain,Male,41,3,0.0,2,non credit card holder,Active Member,34283.23,Retain
2,727,France,Male,34,7,0.0,2,credit card holder,Active Member,198637.34,Retain
3,671,Germany,Female,34,4,37266.67,2,non credit card holder,Inactive Member,156917.12,Retain
3,693,France,Female,30,5,127992.25,1,credit card holder,Active Member,50457.2,Retain
2,850,Germany,Male,38,6,54901.01,1,credit card holder,Active Member,140075.55,Retain
1,732,Germany,Male,42,5,108748.08,2,credit card holder,Active Member,65323.11,Retain
4,726,Spain,Female,48,3,99906.19,1,credit card holder,Inactive Member,64323.24,Retain
2,557,France,Female,32,7,184686.41,2,credit card holder,Inactive Member,14956.44,Retain
4,682,France,Female,26,4,110654.02,1,non credit card holder,Active Member,111879.21,Retain
4,738,Spain,Male,31,4,79019.8,1,credit card holder,Active Member,18606.23,Retain
4,531,Spain,Female,36,6,99240.51,1,credit card holder,Inactive Member,123137.01,Retain
3,498,France,Male,34,4,0.0,2,credit card holder,Active Member,148528.24,Retain
3,651,France,Male,36,5,0.0,2,credit card holder,Inactive Member,13898.31,Retain
2,549,Spain,Female,39,6,0.0,1,non credit card holder,Inactive Member,81259.25,Exit
4,791,Germany,Female,35,6,52436.2,1,credit card holder,Inactive Member,161051.75,Retain
4,650,Spain,Male,41,4,0.0,2,non credit card holder,Active Member,191599.67,Retain
4,733,Germany,Male,34,3,100337.96,3,credit card holder,Inactive Member,48559.19,Exit
3,811,Germany,Female,34,5,149297.19,2,credit card holder,Active Member,186339.74,Retain
4,707,France,Male,30,5,0.0,2,credit card holder,Inactive Member,33159.37,Retain
2,712,Germany,Male,28,4,145605.44,1,non credit card holder,Active Member,93883.53,Retain
4,706,Spain,Female,37,6,0.0,2,credit card holder,Active Member,110899.3,Retain
4,756,France,Male,62,6,0.0,1,credit card holder,Active Member,11199.04,Exit
2,777,France,Female,53,6,0.0,2,credit card holder,Inactive Member,189992.97,Retain
3,646,France,Male,35,5,84026.86,1,non credit card holder,Active Member,164255.69,Retain
3,714,France,Male,46,5,0.0,1,credit card holder,Inactive Member,152167.79,Exit
3,782,France,Male,39,7,0.0,2,credit card holder,Active Member,33949.67,Retain
1,775,Spain,Male,29,5,0.0,2,credit card holder,Active Member,68143.93,Retain
2,479,Germany,Male,35,5,138718.92,1,credit card holder,Active Member,47251.79,Exit
3,807,France,Male,42,5,118274.71,1,credit card holder,Active Member,25885.72,Retain
4,799,France,Female,22,3,174185.98,2,non credit card holder,Active Member,192633.85,Retain
1,675,France,Male,40,6,113208.86,2,credit card holder,Inactive Member,34577.36,Retain
1,602,Spain,Male,29,5,103907.28,1,credit card holder,Inactive Member,161229.84,Retain
1,475,France,Female,32,5,119023.28,1,credit card holder,Inactive Member,100816.29,Retain
3,744,Spain,Female,26,6,166297.89,1,credit card holder,Active Member,181694.44,Retain
2,588,Spain,Male,34,5,0.0,2,credit card holder,Inactive Member,79078.91,Retain
3,703,Germany,Male,42,6,63227.0,1,non credit card holder,Active Member,137316.32,Retain
2,747,Spain,Female,41,4,94521.17,2,credit card holder,Inactive Member,194926.86,Retain
4,583,France,Male,27,5,0.0,2,credit card holder,Inactive Member,51285.49,Retain
4,750,Spain,Female,34,3,112822.26,1,non credit card holder,Inactive Member,150401.53,Exit
3,681,France,Male,38,5,0.0,2,credit card holder,Active Member,112491.96,Retain
2,773,France,Male,25,5,135903.33,1,credit card holder,Inactive Member,73656.38,Retain
1,714,France,Female,31,4,125169.26,1,credit card holder,Active Member,106636.89,Retain
1,687,Spain,Female,44,7,0.0,3,credit card holder,Inactive Member,155853.52,Exit
3,511,France,Male,58,7,149117.31,1,credit card holder,Active Member,162599.51,Retain
4,627,France,Male,33,5,0.0,2,credit card holder,Active Member,103737.82,Retain
4,694,France,Female,31,6,0.0,2,credit card holder,Inactive Member,160990.27,Retain
2,616,Spain,Female,36,5,132311.71,1,non credit card holder,Inactive Member,15462.84,Retain
4,687,France,Male,35,5,0.0,2,credit card holder,Inactive Member,10334.05,Retain
2,712,France,Female,33,7,0.0,2,credit card holder,Active Member,190686.16,Retain
3,553,France,Male,33,4,118082.89,1,non credit card holder,Inactive Member,94440.45,Retain
4,667,France,Male,31,4,119266.69,1,credit card holder,Active Member,28257.63,Retain
1,731,France,Male,43,4,0.0,1,credit card holder,Active Member,170034.95,Exit
2,629,Germany,Male,35,5,156847.29,2,credit card holder,Inactive Member,31824.29,Retain
3,614,France,Male,50,7,137104.47,1,credit card holder,Inactive Member,127166.49,Exit
3,438,Germany,Male,31,3,78398.69,1,credit card holder,Inactive Member,44937.01,Retain
4,652,France,Female,80,6,0.0,2,credit card holder,Active Member,188603.07,Retain
2,729,Germany,Male,30,5,63669.42,1,credit card holder,Inactive Member,145111.37,Retain
4,642,France,Male,38,5,0.0,2,non credit card holder,Inactive Member,171463.83,Retain
3,806,Germany,Female,59,4,135296.33,1,credit card holder,Inactive Member,182822.5,Retain
2,744,Spain,Male,36,5,153804.44,1,credit card holder,Active Member,87213.33,Retain
2,474,Spain,Male,37,5,0.0,2,non credit card holder,Inactive Member,57175.32,Retain
3,559,France,Male,49,4,147069.78,1,credit card holder,Inactive Member,120540.83,Exit
1,706,Spain,Male,42,5,0.0,2,credit card holder,Active Member,28714.34,Retain
2,628,Spain,Female,22,4,0.0,1,credit card holder,Inactive Member,85426.28,Retain
3,429,France,Male,24,4,95741.75,1,credit card holder,Inactive Member,46170.75,Retain
3,525,Spain,Female,57,4,145965.33,1,credit card holder,Active Member,64448.36,Retain
1,680,France,Female,30,7,141441.75,1,credit card holder,Active Member,16278.97,Retain
3,749,France,Male,40,5,139290.41,1,credit card holder,Inactive Member,182855.42,Exit
2,763,France,Female,31,5,0.0,2,non credit card holder,Inactive Member,50404.72,Retain
1,734,France,Male,30,5,0.0,2,credit card holder,Inactive Member,107640.25,Retain
1,716,France,Male,35,6,144428.87,1,credit card holder,Inactive Member,134132.65,Retain
2,594,France,Male,35,5,0.0,2,credit card holder,Inactive Member,103480.69,Retain
2,644,France,Female,46,6,95441.27,1,credit card holder,Inactive Member,108761.05,Exit
3,671,Germany,Male,35,5,144848.74,1,credit card holder,Active Member,179012.3,Retain
